507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
507.94	29.15	33.93	35.56
309.50	28.89	33.91	35.39
309.50	28.89	33.91	35.39
309.50	28.89	33.91	35.39
309.50	28.89	33.91	35.39
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
257.92	28.89	33.91	35.39
257.92	28.89	33.91	35.39
257.92	28.89	33.91	35.39
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
423.28	29.15	33.93	35.56
